Macrotrends Data Download

Initial Jobless Claims Historical Chart

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1967-01-01,204000.000
1967-02-01,242000.000
1967-03-01,247000.000
1967-04-01,255000.000
1967-05-01,228000.000
1967-06-01,218000.000
1967-07-01,209000.000
1967-08-01,213000.000
1967-09-01,204000.000
1967-10-01,207000.000
1967-11-01,191000.000
1967-12-01,216000.000
1968-01-01,198000.000
1968-02-01,193000.000
1968-03-01,192000.000
1968-04-01,251000.000
1968-05-01,194000.000
1968-06-01,194000.000
1968-07-01,205000.000
1968-08-01,188000.000
1968-09-01,189000.000
1968-10-01,182000.000
1968-11-01,162000.000
1968-12-01,223000.000
1969-01-01,193000.000
1969-02-01,192000.000
1969-03-01,183000.000
1969-04-01,177000.000
1969-05-01,187000.000
1969-06-01,203000.000
1969-07-01,192000.000
1969-08-01,195000.000
1969-09-01,193000.000
1969-10-01,205000.000
1969-11-01,202000.000
1969-12-01,223000.000
1970-01-01,239000.000
1970-02-01,242000.000
1970-03-01,276000.000
1970-04-01,349000.000
1970-05-01,301000.000
1970-06-01,291000.000
1970-07-01,287000.000
1970-08-01,297000.000
1970-09-01,333000.000
1970-10-01,327000.000
1970-11-01,337000.000
1970-12-01,321000.000
1971-01-01,292000.000
1971-02-01,290000.000
1971-03-01,300000.000
1971-04-01,288000.000
1971-05-01,299000.000
1971-06-01,291000.000
1971-07-01,308000.000
1971-08-01,307000.000
1971-09-01,308000.000
1971-10-01,283000.000
1971-11-01,278000.000
1971-12-01,244000.000
1972-01-01,269000.000
1972-02-01,254000.000
1972-03-01,264000.000
1972-04-01,265000.000
1972-05-01,267000.000
1972-06-01,286000.000
1972-07-01,247000.000
1972-08-01,262000.000
1972-09-01,251000.000
1972-10-01,234000.000
1972-11-01,235000.000
1972-12-01,225000.000
1973-01-01,214000.000
1973-02-01,218000.000
1973-03-01,222000.000
1973-04-01,236000.000
1973-05-01,238000.000
1973-06-01,237000.000
1973-07-01,250000.000
1973-08-01,254000.000
1973-09-01,249000.000
1973-10-01,235000.000
1973-11-01,233000.000
1973-12-01,300000.000
1974-01-01,291000.000
1974-02-01,292000.000
1974-03-01,323000.000
1974-04-01,283000.000
1974-05-01,309000.000
1974-06-01,325000.000
1974-07-01,320000.000
1974-08-01,350000.000
1974-09-01,366000.000
1974-10-01,414000.000
1974-11-01,474000.000
1974-12-01,537000.000
1975-01-01,555000.000
1975-02-01,544000.000
1975-03-01,555000.000
1975-04-01,513000.000
1975-05-01,475000.000
1975-06-01,459000.000
1975-07-01,454000.000
1975-08-01,446000.000
1975-09-01,445000.000
1975-10-01,426000.000
1975-11-01,387000.000
1975-12-01,391000.000
1976-01-01,359000.000
1976-02-01,349000.000
1976-03-01,366000.000
1976-04-01,367000.000
1976-05-01,402000.000
1976-06-01,387000.000
1976-07-01,388000.000
1976-08-01,394000.000
1976-09-01,423000.000
1976-10-01,414000.000
1976-11-01,377000.000
1976-12-01,333000.000
1977-01-01,422000.000
1977-02-01,362000.000
1977-03-01,356000.000
1977-04-01,375000.000
1977-05-01,381000.000
1977-06-01,365000.000
1977-07-01,365000.000
1977-08-01,365000.000
1977-09-01,380000.000
1977-10-01,349000.000
1977-11-01,354000.000
1977-12-01,364000.000
1978-01-01,363000.000
1978-02-01,371000.000
1978-03-01,335000.000
1978-04-01,324000.000
1978-05-01,318000.000
1978-06-01,330000.000
1978-07-01,346000.000
1978-08-01,333000.000
1978-09-01,318000.000
1978-10-01,316000.000
1978-11-01,359000.000
1978-12-01,358000.000
1979-01-01,342000.000
1979-02-01,360000.000
1979-03-01,360000.000
1979-04-01,357000.000
1979-05-01,349000.000
1979-06-01,369000.000
1979-07-01,386000.000
1979-08-01,390000.000
1979-09-01,390000.000
1979-10-01,398000.000
1979-11-01,414000.000
1979-12-01,428000.000
1980-01-01,412000.000
1980-02-01,428000.000
1980-03-01,475000.000
1980-04-01,563000.000
1980-05-01,637000.000
1980-06-01,627000.000
1980-07-01,558000.000
1980-08-01,502000.000
1980-09-01,463000.000
1980-10-01,418000.000
1980-11-01,412000.000
1980-12-01,399000.000
1981-01-01,419000.000
1981-02-01,434000.000
1981-03-01,412000.000
1981-04-01,436000.000
1981-05-01,417000.000
1981-06-01,444000.000
1981-07-01,407000.000
1981-08-01,451000.000
1981-09-01,491000.000
1981-10-01,514000.000
1981-11-01,552000.000
1981-12-01,556000.000
1982-01-01,583000.000
1982-02-01,528000.000
1982-03-01,574000.000
1982-04-01,588000.000
1982-05-01,588000.000
1982-06-01,582000.000
1982-07-01,605000.000
1982-08-01,647000.000
1982-09-01,671000.000
1982-10-01,637000.000
1982-11-01,612000.000
1982-12-01,489000.000
1983-01-01,503000.000
1983-02-01,481000.000
1983-03-01,481000.000
1983-04-01,490000.000
1983-05-01,454000.000
1983-06-01,442000.000
1983-07-01,415000.000
1983-08-01,426000.000
1983-09-01,416000.000
1983-10-01,404000.000
1983-11-01,398000.000
1983-12-01,372000.000
1984-01-01,364000.000
1984-02-01,343000.000
1984-03-01,341000.000
1984-04-01,375000.000
1984-05-01,354000.000
1984-06-01,360000.000
1984-07-01,359000.000
1984-08-01,395000.000
1984-09-01,402000.000
1984-10-01,425000.000
1984-11-01,429000.000
1984-12-01,379000.000
1985-01-01,368000.000
1985-02-01,390000.000
1985-03-01,386000.000
1985-04-01,386000.000
1985-05-01,396000.000
1985-06-01,390000.000
1985-07-01,362000.000
1985-08-01,409000.000
1985-09-01,399000.000
1985-10-01,418000.000
1985-11-01,393000.000
