week,distance,change,elap30,PAT,type,field,wind,good
1,21,1,24.7167,0,1,1,0,1
1,21,0,15.85,0,1,1,0,1
1,20,0,0.45,1,1,1,0,1
1,28,0,13.55,0,1,1,0,1
1,20,0,21.8667,1,0,0,0,1
1,25,0,17.6833,0,0,0,0,1
1,20,0,12.6833,1,0,0,0,1
1,27,1,4.7833,0,0,0,0,1
1,44,1,0.9167,0,0,0,0,1
1,32,0,25.7667,0,0,0,0,1
1,42,0,6.2667,0,0,0,0,0
1,47,1,0,0,0,0,0,1
1,51,1,19.7833,0,1,1,0,0
1,20,0,29.1833,1,1,1,0,1
1,20,0,12.5167,1,1,1,0,1
1,20,0,10.85,1,1,1,0,1
1,20,1,1.8,1,1,1,0,1
1,20,0,0.0667,1,1,1,0,1
1,20,0,21.0833,1,1,1,0,1
1,20,0,19.0333,1,1,1,0,1
1,20,0,15.75,1,1,1,0,1
1,25,0,6.7167,0,1,1,0,1
1,20,0,1.9333,1,1,1,0,1
1,20,0,11.45,1,0,0,0,1
1,28,0,0.65,0,0,0,0,1
1,21,1,22.4667,0,1,0,0,1
1,20,0,22.15,1,1,0,0,1
1,28,0,15.5833,0,1,0,0,1
1,20,0,12.1167,1,1,0,0,1
1,20,0,4.0167,1,1,0,0,1
1,51,1,20.15,0,1,1,0,0
1,20,0,19.9333,1,1,1,0,1
1,20,0,14.1833,1,1,1,0,1
1,22,0,19.6,0,1,1,0,1
1,20,0,16.5833,1,1,1,0,1
1,20,0,5.3833,1,1,1,0,1
1,20,0,23.7167,1,1,1,0,1
1,52,0,14.9167,0,1,1,0,1
1,20,1,8.4167,0,1,1,0,1
1,38,0,2.9333,0,1,1,0,0
1,38,0,0.0333,0,1,1,0,1
1,37,0,10.3833,0,1,1,0,1
1,20,0,3.3667,1,1,1,0,1
1,20,0,24.0333,1,0,0,0,1
1,27,0,18.3833,0,0,0,0,1
1,41,0,16.2833,0,0,0,0,1
1,20,0,7.1833,1,0,0,0,1
1,51,1,1.6833,0,0,0,0,1
1,20,0,24.9833,1,0,0,0,1
1,20,1,0.4333,1,0,0,0,1
1,20,0,19.0167,1,1,1,0,1
1,20,1,23.2167,1,1,1,0,1
1,20,0,18.0333,1,1,1,0,1
1,49,1,25.9333,0,0,0,0,1
